2019-04-23,97745
2019-04-24,134045
2019-04-25,132765
2019-04-26,131086
2019-04-27,106242
2019-04-28,78947
2019-04-29,135030
2019-04-30,133218
2019-05-01,96684
2019-05-02,136753
2019-05-03,140487
2019-05-04,123933
2019-05-05,80494
2019-05-06,115304
2019-05-07,116178
2019-05-08,112234
2019-05-09,118304
2019-05-10,117931
2019-05-11,92231
2019-05-12,72728
2019-05-13,123292
2019-05-14,119700
2019-05-15,121451
2019-05-16,118275
2019-05-17,121268
2019-05-18,93644
2019-05-19,64527
2019-05-20,128707
2019-05-21,122659
2019-05-22,123287
2019-05-23,121461
2019-05-24,125416
2019-05-25,105001
2019-05-26,76878
2019-05-27,131553
2019-05-28,125529
2019-05-29,123547
2019-05-30,122543
2019-05-31,127713
2019-06-01,108596
2019-06-02,86276
2019-06-03,74881
2019-06-04,49729
2019-06-05,59914
2019-06-06,64942
2019-06-07,79856
2019-06-08,79017
2019-06-09,59719
2019-06-10,128471
2019-06-11,124950
2019-06-12,117046
2019-06-13,114418
2019-06-14,141566
2019-06-15,108086
2019-06-16,80921
2019-06-17,120002
2019-06-18,115079
2019-06-19,118207
2019-06-20,113618
2019-06-21,113276
2019-06-22,89613
2019-06-23,68020
2019-06-24,116973
2019-06-25,113633
2019-06-26,112686
2019-06-27,108673
2019-06-28,109824
2019-06-29,91830
2019-06-30,68381
2019-07-01,116295
2019-07-02,112612
2019-07-03,111994
2019-07-04,108379
2019-07-05,109460
2019-07-06,94575
2019-07-07,70105
2019-07-08,116851
2019-07-09,114321
2019-07-10,114159
2019-07-11,110152
2019-07-12,110760
2019-07-13,90937
2019-07-14,76333
2019-07-15,58
2019-07-16,122805
2019-07-17,118924
2019-07-18,110275
2019-07-19,116053
2019-07-20,97681
2019-07-21,69363
2019-07-22,119807
2019-07-23,119390
2019-07-24,119206
2019-07-25,117480
2019-07-26,115674
2019-07-27,97144
2019-07-28,73115
2019-07-29,118282
2019-07-30,112258
2019-07-31,112425
2019-08-01,111213
2019-08-02,109343
2019-08-03,93100
2019-08-04,68222
2019-08-05,116400
2019-08-06,116547
2019-08-07,116637
2019-08-08,118163
2019-08-09,122778
2019-08-10,83953
2019-08-11,443
2019-08-12,309
2019-08-13,137
2019-08-14,0
2019-08-15,100146
2019-08-16,103394
2019-08-17,88766
2019-08-18,64810
2019-08-19,123972
2019-08-20,113681
2019-08-21,114849
2019-08-22,112280
2019-08-23,109356
2019-08-24,91499
2019-08-25,68352
2019-08-26,114931
2019-08-27,109940
2019-08-28,109603
2019-08-29,106897
2019-08-30,87449
2019-08-31,84337
2019-09-01,63146
2019-09-02,114418
2019-09-03,110468
2019-09-04,111651
2019-09-05,110680
2019-09-06,110737
2019-09-07,95720
2019-09-08,70328
2019-09-09,127317
2019-09-10,124077
2019-09-11,123669
2019-09-12,121167
2019-09-13,121941
2019-09-14,99147
2019-09-15,73349
2019-09-16,139393
2019-09-17,141106
2019-09-18,140024
2019-09-19,137113
2019-09-20,134680
2019-09-21,102232
2019-09-22,79813
2019-09-23,143196
2019-09-24,141865
2019-09-25,138118
2019-09-26,139213
2019-09-27,135635
2019-09-28,115838
2019-09-29,77329
2019-09-30,139912
2019-10-01,139122
2019-10-02,139175
2019-10-03,136117
2019-10-04,133365
2019-10-05,112794
2019-10-06,76467
2019-10-07,139289
2019-10-08,137925
2019-10-09,137955
2019-10-10,136794
2019-10-11,133224
2019-10-12,117074
2019-10-13,84367
2019-10-14,137440
2019-10-15,139169
2019-10-16,136804
2019-10-17,136396
2019-10-18,137595
2019-10-19,39481
2019-10-20,85329
2019-10-21,140013
2019-10-22,137607
2019-10-23,140297
2019-10-24,137577
2019-10-25,135642
2019-10-26,118530
2019-10-27,81332
2019-10-28,132808
2019-10-29,93389
2019-10-30,141134
2019-10-31,136867
2019-11-01,131641
2019-11-02,109045
2019-11-03,80778
2019-11-04,137060
2019-11-05,135906
2019-11-06,136158
2019-11-07,133603
2019-11-08,136237
2019-11-09,121249
2019-11-10,87952
2019-11-11,136432
2019-11-12,134774
2019-11-13,134696
2019-11-14,130223
2019-11-15,133021
2019-11-16,116779
2019-11-17,85744
2019-11-18,136071
2019-11-19,132750
2019-11-20,135321
2019-11-21,129892
2019-11-22,125245
2019-11-23,107170
2019-11-24,79129
2019-11-25,137389
2019-11-26,133044
2019-11-27,133025
2019-11-28,134604
2019-11-29,133952
2019-11-30,112682
2019-12-01,77750
2019-12-02,135919
2019-12-03,135915
2019-12-04,135030
2019-12-05,128764
2019-12-06,129649
2019-12-07,116282
2019-12-08,80896
2019-12-09,133007
2019-12-10,133873
2019-12-11,133821
2019-12-12,128854
2019-12-13,130069
2019-12-14,117157
2019-12-15,85741
2019-12-16,136217
2019-12-17,135343
2019-12-18,135699
2019-12-19,132511
2019-12-20,130980
2019-12-21,120206
2019-12-22,85441
2019-12-23,130928
2019-12-24,125563
2019-12-25,131112
2019-12-26,127690
2019-12-27,129645
2019-12-28,108601
2019-12-29,68451
2019-12-30,131072
2019-12-31,132375
2020-01-01,65730
2020-01-02,124220
2020-01-03,123508
2020-01-04,93461
2020-01-05,69578
2020-01-06,116997
2020-01-07,111488
2020-01-08,117512
2020-01-09,114376
2020-01-10,118512
2020-01-11,112913
2020-01-12,79717
2020-01-13,123925
2020-01-14,121379
2020-01-15,120011
2020-01-16,116087
2020-01-17,133883
2020-01-18,100748
2020-01-19,74170
2020-01-20,108380
2020-01-21,103198
2020-01-22,105318
2020-01-23,104649
2020-01-24,100041
2020-01-25,88942
2020-01-26,66763
2020-01-27,111955
2020-01-28,105688
2020-01-29,106252
2020-01-30,102049
2020-01-31,94432
2020-02-01,88555
2020-02-02,66629
2020-02-03,119692
2020-02-04,110329
2020-02-05,119588
2020-02-06,107153
2020-02-07,115600
2020-02-08,95471
2020-02-09,68994
2020-02-10,99981
2020-02-11,123677
2020-02-12,121525
2020-02-13,99077
2020-02-14,128359
2020-02-15,107799
2020-02-16,77645
2020-02-17,139305
2020-02-18,137470
2020-02-19,137177
2020-02-20,134571
2020-02-21,130174
2020-02-22,114425
2020-02-23,81318
2020-02-24,139127
2020-02-25,134790
2020-02-26,135745
2020-02-27,128762
2020-02-28,125751
2020-02-29,110351
2020-03-01,73847
2020-03-02,137296
2020-03-03,136310
2020-03-04,135719
2020-03-05,132311
2020-03-06,131048
2020-03-07,119334
2020-03-08,85259
2020-03-09,139971
2020-03-10,135689
2020-03-11,134822
2020-03-12,126823
2020-03-13,115155
2020-03-14,81144
2020-03-15,55882
2020-03-16,73519
2020-03-17,52551
2020-03-18,47357
2020-03-19,42385
2020-03-20,37902
2020-03-21,29499
2020-03-22,15559
2020-03-23,32521
2020-03-24,26689
2020-03-25,25801
2020-03-26,25885
2020-03-27,25501
